id,question_type,question_th,question_en,answer_th,answer_en,active,order_no,create_date,update_date
1,มาตรฐาน,การกำหนดมาตรฐาน มีกี่ประเภท อะไรบ้างอธิบาย,,"การกำหนดมาตรฐาน มี 3 ประเภท
1.มาตรฐานสินค้า เป็นมาตรฐานที่กำหนดขึ้นเพื่อใช้เป็นเกณฑ์ระดับประเทศในการผลิต การค้าในประเทศ การส่งออกนำเข้า และการตรวจรับรองสินค้าโดยข้อกำหนดครอบคลุมทั้งด้านความปลอดภัยและคุณภาพที่จำเป็นที่ผู้บริโภคต้องการมาตรฐานสินค้าเกษตรที่เป็นผลผลิต เช่น ข้าวหอมมะลิ ทุเรียน มะม่วง หน่อไม้ฝรั่ง กล้วยไม้ เนื้อโค เนื้อสุกร ปลานิล เป็นต้น มาตรฐานสินค้าเกษตรแปรรูปขั้นต้นหรืออาหารแปรรูป เช่น ลำไยอบแห้ง กะทิ ซูริมิ เป็นต้น
2.มาตรฐานระบบการผลิต เป็นมาตรฐานที่กำหนดขึ้นเพื่อใช้เป็นเกณฑ์ในการตรวจรับรองการปฏิบัติของผู้ผลิต ตั้งแต่การผลิตระดับฟาร์ม มาตรฐานการปฏิบัติทางการเกษตรที่ดี (GAP) ระดับโรงคัดบรรจุ และโรงงานอุตสาหกรรม ซึ่งรวมทั้งโรงงานแปรรูปขั้นต้น โรงฆ่าสัตว์ โรงสีข้าว หรือมาตรฐานการปฏิบัติทางโรงงานที่ดี (GMP)
3.มาตรฐานทั่วไป เป็นมาตรฐานที่เป็นข้อกำหนดทั่วไปต่างๆ ได้แก่ เกณฑ์กำหนดเฉพาะด้านที่เกี่ยวกับความปลอดภัยรวมถึงด้านสุขอนามัยสัตว์และพืชด้วย เช่น ข้อกำหนดสำหรับวัสดุบรรจุภัณฑ์ไม้เพื่อการส่งออก มาตฐานสารพิษตกค้างมาตรฐานสารปนเปื้อน มาตรฐานวิธีวิเคราะห์และชักตัวอย่าง มาตรฐานวิธีชันสูตรโรค",,Y,1,2019-02-21 10:52:28,2019-02-21 10:52:28
2,มาตรฐาน,หลักการของระบบงานด้านมาตรฐานและความปลอดภัยด้านอาหารและสินค้าเกษตรระหว่างประเทศ มีอะไรบ้าง,,"ตามมติคณะรัฐมนตรี วันที่ 4 มีนาคม 2546 ได้กำหนดหลักการดังนี้ 
1.เน้นความสำคัญในด้านความปลอดภัยของผู้บริโภคภายในประเทศและต่างประเทศที่เท่าเทียมกัน 
2.สินค้าเกษตรและอาหารของไทย ต้องเป็นที่ยอมรับและสอดคล้องกับมาตรฐานสากล 
3.การกำหนดมาตรฐานด้านสุขอนามัยและสุขอนามัยพืช(SPS)จะต้องอยู่บนพื้นฐานด้านวิทยาศาสตร์เท่านั้น เพื่อปกป้องและคุ้มครองผู้บริโภคและการผลิตทางการเกษตร 
4.ประเทศไทยจะต้องมีระบบควบคุมมาตรฐานและการกักกันพืชและสัตว์ ที่เท่าเทียมกับต่างประเทศ (From Farm to Table)เพื่อให้เกิดความเป็นธรรมในระบบการค้าระหว่างประเทศและผู้บริโภคภายในประเทศ",,Y,2,2019-02-21 10:52:28,2019-02-21 10:52:28
3,มาตรฐาน,มาตรฐานสินค้าเกษตรและอาหารที่ประกาศในราชกิจจานุเบกษาในปี 2546 มีอะไรบ้าง,,"1.)เรื่องเกษตรอินทรีย์ เล่ม 1 : การผลิต แปรรูป แสดงฉลากและจำหน่ายเกษตรอินทรีย์
2.)เรื่องลำไย 
3.)เรื่องสับปะรด 
4.)เรื่องทุเรียน 
5.)เรื่องมะม่วง 
6.)เรื่องมังคุด 
7.)เรื่องข้าวหอมมะลิไทย 
8.)เรื่องการปฏิบัติทางการเกษตรที่ดีสำหรับลำไย
9.)เรื่องการปฏิบัติทางการเกษตรที่ดีสำหรับพืชอาหาร 
10.)เรื่องการปฏิบัติทางการเกษตรที่ดีสำหรับพืชข้าวหอมมะลิไทย 
11.)เรื่องการปฏิบัติทางการเกษตรที่ดีสำหรับฟาร์มผึ้ง 
12.)เรื่องการปฏิบัติทางการเกษตรที่ดีสำหรับฟาร์มเป็ดเนื้อและเป็ดพันธุ์ ",,Y,3,2019-02-21 10:52:28,2019-02-21 10:52:28
4,มาตรฐาน,แผนการกำหนดมาตรฐานในปี2547 มีอะไรบ้าง,,"1.ร่างมาตรฐานที่อยู่ในขั้นตอนการพิจารณาของอนุกรรมการ/คณะทำงาน 
-เงาะ -กุ้งก้ามกราม -ปลาหมึก -เนื้อเป็ด -ไข่เป็ด -ไข่ไก่ -น้ำนมดิบ 
-ศูนย์รวมน้ำนมดิบ -การปฏิบัติทางการเกษตรที่ดี สำหรับกระเจี๊ยบเขียว 
-การปฏิบัติทางการเกษตรที่ดีสำหรับหน่อไม้ฝรั่ง -การปฏิบัติทางการเกษตรที่ดี สำหรับพริก 
-การปฏิบัติทางการเกษตรที่ดี สำหรับสับปะรด -การปฏิบัติทางการเกษตรที่ดี สำหรับทุเรียน 
-การปฏิบัติทางการเกษตรที่ดี สำหรับมังคุด -การปฏิบัติทางการเกษตรที่ดี สำหรับมะม่วง 
-การปฏิบัติทางการเกษตรที่ดี สำหรับการเพาะเลี้ยงปลานิล -มาตรฐานสารพิษตกค้าง 
2.ร่างมาตรฐานที่อยู่ในขั้นตอนการยกร่าง 
-ข้าวปทุมธานี 1 -ข้าวโพดฝักอ่อน -ข้าวโพดหวาน -มะพร้าวอ่อน -กล้วยหอม 
-สับปะรดโรงงาน -ลำไยอบแห้ง -กุ้งกุลาดำ -ปู -หอย -ปลากระพง -เนื้อไก่ 
-ปศุสัตว์อินทรีย์ -ยางแท่งเอสทีอาร์ -ไหมไทย -โรงฆ่าสัตว์ -โรงฆ่าสัตว์ปีก -โรงฆ่าสุกร 
-การปฏิบัติทางการเกษตรที่ดี สำหรับการจับปลาหมึก 
-การปฏิบัติทางการเกษตรที่ดี สำหรับการเพาะเลี้ยงสัตว์น้ำ 
-การปฏิบัติทางการเกษตรที่ดี สำหรับการผลิตซูริมิ 
-การปฏิบัติทางการเกษตรที่ดี สำหรับฟาร์มเนื้อโค 
-การปฏิบัติทางการเกษตรที่ดี สำหรับฟาร์มเป็ดไข่
-การจัดการสวนยางพาราอย่างยั่งยืน -วิธีชักตัวอย่างพืช -มาตรฐานสารปนเปื้อน
-การวิเคราะห์ความเสี่ยงที่ได้จากเทคโนโลยีชีวภาพสมัยใหม่ 
-การประเมินความปลอดภัยของพืชอาหารที่ได้จากการดัดแปรพันธุกรรม 
-การประเมินความปลอดภัยของอาหารที่ได้จากจุลินทรีย์ดัดแปรพันธุกรรม 
-การชันสูตรโรคกัมโบโร -การชันสูตรโรค BSE -การชันสูตรโรค Avian influenza 
-การชันสูตรโรคตัวแดงตัวขาว -การชันสูตรโรคหัวเหลือง ",,Y,4,2019-02-21 10:52:28,2019-02-21 10:52:28
5,มาตรฐาน,มาตรฐานสินค้าเกษตรและอาหารที่ประกาศในราชกิจจานุเบกษาในปี 2547 มีอะไรบ้าง,,"1.) กล้วยไม้ 
2.) การปฏิบัติทางการเกษตรที่ดีสำหรับกล้วยไม้ 
3.) กระเจี๊ยบเขียว 
4.) หน่อไม้ฝรั่ง 
5.) พริก 
6.) ปลานิล 
7.) เนื้อโค 
8.) เนื้อกระบือ 
9.) เนื้อสุกร 
10. การชันสูตรโรคปากและเท้าเปื่อย 
11.) การชันสูตรโรควัณโรคในโคและกระบือ 
12.) ข้อกำหนดสำหรับวัสดุบรรจุภัณฑ์ไม้เพื่อการส่งออก 
13.) สารพิษตกค้าง : ปริมาณสารพิษตกค้างสูงสุด 
14.) สารพิษตกค้าง : ปริมาณสารพิษตกค้างสูงสุดที่ปนเปื้อนจากสาเหตุที่ไม่อาจหลีกเลี่ยงได้ 
15.) การปฏิบัติทางการประมงที่ดีสำหรับการเลี้ยงปลานิล",,Y,5,2019-02-21 10:52:28,2019-02-21 10:52:28
6,มาตรฐาน,มาตรฐานสินค้าเกษตรและอาหาร มีประโยชน์อย่างไร,,"ด้านการผลิต สามารถนำไปใช้เป็นเกณฑ์ปฏิบัติในการผลิต ทั้งมาตรฐานระบบการผลิตที่อธิบายข้อกำหนดและคำแนะนำการปฏิบัติที่ดีในการผลิตหรือมาตรฐานสินค้าที่จะช่วยให้ผู้ผลิตปรับปรุงคุณภาพ รวมทั้งจัดชั้นคุณภาพของผลผลิตและสินค้าเกษตรได้อย่างเหมาะสมเป็นเกณฑ์เดียวกันทั้งประเทศและสอดคล้องกับเกณฑ์สากลด้วย

ด้านการค้า จะช่วยให้เกิดมาตรฐานกลางของประเทศที่ผู้ซื้อผู้ขายสามารถนำไปใช้อ้างอิงได้ ทำให้เกิดความเป็นธรรมทางการค้า ในขณะที่ผู้ผลิตมีเกณฑ์ที่จะผลิตสินค้าให้ตรงกับความต้องการของผู้ซื้อ

ด้านการเจรจาระหว่างประเทศ การมีมาตรฐานของประเทศจะช่วยสนับสนุนการเจรจาระหว่างประเทศ โดยเฉพาะการทำความตกลงยอมรับความเท่าเทียมกันระหว่างประเทศไทยกับคู่ค้า

ด้านระบบการตรวจรับรอง ตามยุทธศาสตร์ความปลอดภัยด้านอาหารของกระทรวงเกษตรและสหกรณ์ได้กำหนดเป้าหมายการขึ้นทะเบียนและตรวจรับรองฟาร์มทั้งด้านพืช ประมง และปศุสัตว์ เพื่อนำฟาร์มเกษตรกรเข้าสู่ระบบมาตรฐาน โดยใช้มาตรฐานการปฏิบัติทางการเกษตรที่ดี (GAP) เป็นเกณฑ์ในการตรวจรับรองและตรวจรับรองโรงงานแปรรูปส่งออก (GMP,HACCP)",,Y,6,2019-02-21 10:52:28,2019-02-21 10:52:28
7,มาตรฐาน,มาตรฐานสินค้าเกษตรและอาหารที่ประกาศในราชกิจจานุเบกษาในปี 2548 มีอะไรบ้าง,,"1.) กุ้งก้ามกราม 
2.) ไข่ไก่ 
3.) ไข่เป็ด 
4.) เนื้อเป็ด 
5.) เนื้อไก่ 
6.) ปลาหมึก 
7.) น้ำนมดิบ 
8.) กล้วย 
9.) เส้นไหมไทย 
10.) ปุ๋ยหมัก 
11.) การปฏิบัติที่ดีสำหรับโรงฆ่าสัตว์ 
12.) การปฏิบัติทางการเกษตรที่ดีสำหรับฟาร์มโคเนื้อ 
13.) เกษตรอินทรีย์ เล่ม 2 : ปศุสัตว์อินทรีย์ 
14.) การปฏิบัติที่ดีสำหรับศูนย์รวมน้ำนมดิบ 
15.) การปฏิบัติทางการเกษตรที่ดีสำหรับหน่อไม้ฝรั่ง 
16.) การปฏิบัติทางการเกษตรที่ดีสำหรับกระเจี๊ยบเขียว 
17.) การปฏิบัติทางการเกษตรที่ดีสำหรับพริก 
18.) การปฏิบัติทางการเกษตรที่ดีสำหรับฟาร์มเป็ดไข่ 
19.) หลักการทำงานในการวิเคราะห์ความเสี่ยง 
20.) หลักเกณฑ์การใช้เครื่องหมายรับรอง Q และ Q Premium กับสินค้าเกษตรและอาหาร",,Y,7,2019-02-21 10:52:28,2019-02-21 10:52:28
8,มาตรฐาน,อยากทราบว่ามาตรฐานและข้อกำหนดของกุ้งก้ามกรามในการส่งออกว่ามีลักษณะอย่างไร,,"กุ้งก้ามกราม มี 3 ลักษณะด้วยกัน ได้แก่
1.	กุ้งเพศผู้มี 2 แบบ กุ้งก้ามทองและกุ้งก้ามลาก
2.	กุ้งเพศเมียมี 3 แบบ กุ้งไข่ ซึ่งมี 2 แบบ ได้แก่ กุ้งไข่แดงและกุ้งไข่ดำ กุ้งโป่ง และกุ้งแก้ว หรือกุ้งหัวแก้ว
3.	กุ้งนิ่ม
ข้อกำหนดด้านคุณภาพ
1.	คุณภาพทั่วไปของกุ้งที่ยอมรับได้ จากการตรวจสอบโดยการตรวจพินิจ และการดมกลิ่นเป็นดังนี้
-	เป็นกุ้งสดทั้งตัว มีเปลือกหุ้มส่วนหัว ลำตัว และหางครบ
-	ไม่มีตำหนิที่เห็นได้ชัด
-	สะอาดปลอดจากพยาธิ และไม่มีลักษณะที่แสดงอาการของโรค
-	ไม่มีกลิ่นที่ไม่พึงประสงค์ ผิดธรรมชาติของกุ้งสด
-	ไม่มีสิ่งแปลกปลอม จากการปฏิบัติที่ไม่ถูกสุขลักษณะ
-	ไม่มีลักษณะเป็นกุ้งจิ๊กโก๋
2.	การแบ่งชั้นคุณภาพ กำหนดไว้ 2 ชั้น คุณภาพคือ กุ้งชั้นพิเศษและกุ้งชั้นหนึ่ง ตามความสดและลักษณะปรากฏ โดยพิจารณาจากสีเนื้อ เนื้อเหยี่อบริเวณคอเหงือก เปลือก หุ้มลำตัว และจากกลิ่นของกุ้ง ซึ่งทั้ง 2 ชั้นคุณภาพนี้ต้องผ่านเกณฑ์คุณภาพทั่วไปของกุ้งที่ยอมรับได้ และเพิ่มเกณฑ์ที่สำคัญ ได้แก่ ลำตัวและเปลือกหุ้มลำตัว กุ้งชั้นพิเศษ ลำตัวต้องมีสีธรรมชาติตามสภาพแวดล้อม ส่วนหัวและลำตัวติดแน่นเปลือกสมบูรณ์ติดแน่นสดใส เป็นมัน เนื้อแน่น ใส เหงือกสะอาด ในขณะที่กุ้งชั้นหนึ่ง เปลือกเริ่มไม่สดใส ไม่เป็นมัน แต่เนื้อยังคงแน่น กลิ่น กุ้งชั้นพิเศษต้องมีกลิ่นกุ้งสดตามธรรมชาติ และไม่พบกลิ่นผิดปกติใดๆสำหรับกุ้งชั้นหนึ่ง อนุญาตให้มีกลิ่นคาวได้เล็กน้อย",,Y,8,2019-02-21 10:52:28,2019-02-21 10:52:28
9,มาตรฐาน,วิธีปฏิบัติที่ยอมรับเพื่อกำจัดศัตรูพืชสำหรับวัสดุบรรจุภัณฑ์ไม้ มีกี่วิธี และอะไรบ้าง,,"มี 2 วิธี
1.การอบด้วยความร้อน (Heat Treatment) คือ การนำวัตถุดิบไม้ที่ประกอบเป็นบรรจุภัณฑ์มาอบด้วยความร้อนจนแกนกลางของไม้ได้รับความร้อนไม่น้อยกว่า 56 องศาเซลเซียส เป็นเวลาไม่น้อยกว่า 30 นาที หากเป็นการอบแห้ง (Kin-Drying : KD) หรือการอัดน้ำยาด้วยแรงอัด (Chemical Pressure Impregnation : CPI) ก็ต้องได้รับความร้อนและใช้เวลาในระดับเดียวกันกับการอบด้วยความร้อน
2.การรมด้วยเมทิลโบรไมด์ (Methyl Bromide Fumigation) คือ การนำวัตถุดิบไม้ที่จะประกอบเป็นบรรจุภัณฑ์มารมด้วยสารเมทิลโบรไมด์ตามอุณหภูมิ อัตรา เวลาและความเข้มข้นที่กำหนด ซึ่งเดิมกำหนดอุณหภูมิต่ำสุดไม่น้อยกว่า 10 องศาเซลเซียส และระยะเวลารมไม่น้อยกว่า 16 ชั่วโมง แต่ได้มีการแก้ไขใหม่ในปี 2549 โดยเพิ่มระยะเวลารมเป็นไม่น้อยกว่า 24 ชั่วโมง (และการตรวจสอบความเข้มข้นของสารเมทิลโบรไมด์ต้องทำอย่างน้อย 3 ครั้งที่ระยะเวลา 2,4 และ 24 ชั่วโมง)",,Y,9,2019-02-21 10:52:28,2019-02-21 10:52:28
10,มาตรฐาน,วัสดุใดที่ไม่ถือเป็นวัสดุบรรจุภัณฑ์ไม้,,คือ วัสดุบรรจุภัณฑ์ที่ผลิตจากไม้แปรรูปที่ผ่านกระบวนการจนไม่มีความเสี่ยงที่ศัตรูพืชจะติดไป เช่น ไม้อัด ไม้เคลือบน้ำยา ,,Y,10,2019-02-21 10:52:28,2019-02-21 10:52:28
